hypothesis,level1,level2,n,mean_A,mean_B,mean_diff,t,p,cohen_d,sig,value
H1a_overall_pairwise,throughput_shannon_nominal_bps,BUBBLE_vs_POINT,3.0,3.9041,3.1696,0.7344,1.388,0.2996,0.801,False,
H1a_overall_pairwise,throughput_shannon_nominal_bps,BUBBLE_vs_AREA,3.0,3.9041,3.4563,0.4478,1.899,0.1979,1.097,False,
H1a_overall_pairwise,throughput_shannon_nominal_bps,POINT_vs_AREA,3.0,3.1696,3.4563,-0.2867,-0.769,0.5224,-0.444,False,
H1a_overall_pairwise,throughput_shannon_effective_bps,BUBBLE_vs_POINT,3.0,3.2785,3.2411,0.0374,0.139,0.9021,0.08,False,
H1a_overall_pairwise,throughput_shannon_effective_bps,BUBBLE_vs_AREA,3.0,3.2785,3.2844,-0.0059,-0.116,0.9184,-0.067,False,
H1a_overall_pairwise,throughput_shannon_effective_bps,POINT_vs_AREA,3.0,3.2411,3.2844,-0.0433,-0.185,0.8705,-0.107,False,
H1a_overall_pairwise,throughput_hoffmann_bps,BUBBLE_vs_POINT,3.0,5.9578,4.8056,1.1522,1.516,0.2687,0.875,False,
H1a_overall_pairwise,throughput_hoffmann_bps,BUBBLE_vs_AREA,3.0,5.9578,5.2378,0.72,2.213,0.1574,1.278,False,
H1a_overall_pairwise,throughput_hoffmann_bps,POINT_vs_AREA,3.0,4.8056,5.2378,-0.4322,-0.815,0.5009,-0.47,False,
H1a_overall_pairwise,avgTime_ms,BUBBLE_vs_POINT,3.0,1088.1537,1324.3315,-236.1778,-4.952,0.0385,-2.859,True,
H1a_overall_pairwise,avgTime_ms,BUBBLE_vs_AREA,3.0,1088.1537,1288.5963,-200.4426,-2.096,0.171,-1.21,False,
H1a_overall_pairwise,avgTime_ms,POINT_vs_AREA,3.0,1324.3315,1288.5963,35.7352,0.258,0.8205,0.149,False,
H1a_overall_pairwise,precisionRate_percent,BUBBLE_vs_POINT,3.0,65.7407,100.0,-34.2593,-3.102,0.0901,-1.791,False,
H1a_overall_pairwise,precisionRate_percent,BUBBLE_vs_AREA,3.0,65.7407,86.2963,-20.5556,-3.46,0.0743,-1.998,False,
H1a_overall_pairwise,precisionRate_percent,POINT_vs_AREA,3.0,100.0,86.2963,13.7037,2.38,0.1403,1.374,False,
H1a_overall_pairwise,avgErrorClicks,BUBBLE_vs_POINT,3.0,0.1796,0.5796,-0.4,-3.733,0.0649,-2.155,False,
H1a_overall_pairwise,avgErrorClicks,BUBBLE_vs_AREA,3.0,0.1796,0.3519,-0.1722,-1.334,0.3139,-0.77,False,
H1a_overall_pairwise,avgErrorClicks,POINT_vs_AREA,3.0,0.5796,0.3519,0.2278,10.145,0.0096,5.857,True,
H1b_clustering_interaction,LOW,area_minus_point,,,,,,,,,0.4578
H1b_clustering_interaction,LOW,area_vs_point_t,,,,,,,,,-0.951
H1b_clustering_interaction,LOW,area_vs_point_p,,,,,,,,,0.4421
H1b_clustering_interaction,LOW,area_vs_point_cohen_d,,,,,,,,,-0.549
H1b_clustering_interaction,LOW,area_vs_point_sig,,,,,,,,,False
H1b_clustering_interaction,LOW,bubble_minus_point,,,,,,,,,0.9744
H1b_clustering_interaction,LOW,bubble_vs_point_t,,,,,,,,,1.523
H1b_clustering_interaction,LOW,bubble_vs_point_p,,,,,,,,,0.2672
H1b_clustering_interaction,LOW,bubble_vs_point_cohen_d,,,,,,,,,0.879
H1b_clustering_interaction,LOW,bubble_vs_point_sig,,,,,,,,,False
H1b_clustering_interaction,LOW,bubble_minus_area,,,,,,,,,0.5167
H1b_clustering_interaction,LOW,bubble_vs_area_t,,,,,,,,,2.053
H1b_clustering_interaction,LOW,bubble_vs_area_p,,,,,,,,,0.1765
H1b_clustering_interaction,LOW,bubble_vs_area_sig,,,,,,,,,False
H1b_clustering_interaction,MEDIUM,area_minus_point,,,,,,,,,0.3211
H1b_clustering_interaction,MEDIUM,area_vs_point_t,,,,,,,,,-0.854
H1b_clustering_interaction,MEDIUM,area_vs_point_p,,,,,,,,,0.4831
H1b_clustering_interaction,MEDIUM,area_vs_point_cohen_d,,,,,,,,,-0.493
H1b_clustering_interaction,MEDIUM,area_vs_point_sig,,,,,,,,,False
H1b_clustering_interaction,MEDIUM,bubble_minus_point,,,,,,,,,0.7589
H1b_clustering_interaction,MEDIUM,bubble_vs_point_t,,,,,,,,,1.237
H1b_clustering_interaction,MEDIUM,bubble_vs_point_p,,,,,,,,,0.3417
H1b_clustering_interaction,MEDIUM,bubble_vs_point_cohen_d,,,,,,,,,0.714
H1b_clustering_interaction,MEDIUM,bubble_vs_point_sig,,,,,,,,,False
H1b_clustering_interaction,MEDIUM,bubble_minus_area,,,,,,,,,0.4378
H1b_clustering_interaction,MEDIUM,bubble_vs_area_t,,,,,,,,,1.1
H1b_clustering_interaction,MEDIUM,bubble_vs_area_p,,,,,,,,,0.3861
H1b_clustering_interaction,MEDIUM,bubble_vs_area_sig,,,,,,,,,False
H1b_clustering_interaction,HIGH,area_minus_point,,,,,,,,,0.0811
H1b_clustering_interaction,HIGH,area_vs_point_t,,,,,,,,,-0.25
H1b_clustering_interaction,HIGH,area_vs_point_p,,,,,,,,,0.8259
H1b_clustering_interaction,HIGH,area_vs_point_cohen_d,,,,,,,,,-0.144
H1b_clustering_interaction,HIGH,area_vs_point_sig,,,,,,,,,False
H1b_clustering_interaction,HIGH,bubble_minus_point,,,,,,,,,0.47
H1b_clustering_interaction,HIGH,bubble_vs_point_t,,,,,,,,,1.252
H1b_clustering_interaction,HIGH,bubble_vs_point_p,,,,,,,,,0.3371
H1b_clustering_interaction,HIGH,bubble_vs_point_cohen_d,,,,,,,,,0.723
H1b_clustering_interaction,HIGH,bubble_vs_point_sig,,,,,,,,,False
H1b_clustering_interaction,HIGH,bubble_minus_area,,,,,,,,,0.3889
H1b_clustering_interaction,HIGH,bubble_vs_area_t,,,,,,,,,4.827
H1b_clustering_interaction,HIGH,bubble_vs_area_p,,,,,,,,,0.0403
H1b_clustering_interaction,HIGH,bubble_vs_area_sig,,,,,,,,,True
