hypothesis,label,condition,dv,test_type,n,df,mean_a,mean_b,mean_diff,t,p,cohen_d,sig,stars
H1a,BUBBLE_vs_POINT,all_conditions,throughput_shannon_nominal_bps,paired_t,3,2,3.9041,3.1696,0.7344,1.388,0.2996,0.801,False,
H1a,BUBBLE_vs_AREA,all_conditions,throughput_shannon_nominal_bps,paired_t,3,2,3.9041,3.4563,0.4478,1.899,0.1979,1.097,False,
H1a,POINT_vs_AREA,all_conditions,throughput_shannon_nominal_bps,paired_t,3,2,3.1696,3.4563,-0.2867,-0.769,0.5224,-0.444,False,
H1a,BUBBLE_vs_POINT,all_conditions,throughput_shannon_effective_bps,paired_t,3,2,3.2785,3.2411,0.0374,0.139,0.9021,0.08,False,
H1a,BUBBLE_vs_AREA,all_conditions,throughput_shannon_effective_bps,paired_t,3,2,3.2785,3.2844,-0.0059,-0.116,0.9184,-0.067,False,
H1a,POINT_vs_AREA,all_conditions,throughput_shannon_effective_bps,paired_t,3,2,3.2411,3.2844,-0.0433,-0.185,0.8705,-0.107,False,
H1a,BUBBLE_vs_POINT,all_conditions,throughput_hoffmann_bps,paired_t,3,2,5.9578,4.8056,1.1522,1.516,0.2687,0.875,False,
H1a,BUBBLE_vs_AREA,all_conditions,throughput_hoffmann_bps,paired_t,3,2,5.9578,5.2378,0.72,2.213,0.1574,1.278,False,
H1a,POINT_vs_AREA,all_conditions,throughput_hoffmann_bps,paired_t,3,2,4.8056,5.2378,-0.4322,-0.815,0.5009,-0.47,False,
H1a,BUBBLE_vs_POINT,all_conditions,avgTime_ms,paired_t,3,2,1088.1537,1324.3315,-236.1778,-4.952,0.0385,-2.859,True,*
H1a,BUBBLE_vs_AREA,all_conditions,avgTime_ms,paired_t,3,2,1088.1537,1288.5963,-200.4426,-2.096,0.171,-1.21,False,
H1a,POINT_vs_AREA,all_conditions,avgTime_ms,paired_t,3,2,1324.3315,1288.5963,35.7352,0.258,0.8205,0.149,False,
H1a,BUBBLE_vs_POINT,all_conditions,precisionRate_percent,paired_t,3,2,65.7407,100.0,-34.2593,-3.102,0.0901,-1.791,False,
H1a,BUBBLE_vs_AREA,all_conditions,precisionRate_percent,paired_t,3,2,65.7407,86.2963,-20.5556,-3.46,0.0743,-1.998,False,
H1a,POINT_vs_AREA,all_conditions,precisionRate_percent,paired_t,3,2,100.0,86.2963,13.7037,2.38,0.1403,1.374,False,
H1a,BUBBLE_vs_POINT,all_conditions,avgErrorClicks,paired_t,3,2,0.1796,0.5796,-0.4,-3.733,0.0649,-2.155,False,
H1a,BUBBLE_vs_AREA,all_conditions,avgErrorClicks,paired_t,3,2,0.1796,0.3519,-0.1722,-1.334,0.3139,-0.77,False,
H1a,POINT_vs_AREA,all_conditions,avgErrorClicks,paired_t,3,2,0.5796,0.3519,0.2278,10.145,0.0096,5.857,True,**
H1b,BUBBLE_vs_POINT,clustering=LOW,throughput_shannon_nominal_bps,paired_t,3,2,4.3144,3.34,0.9744,1.523,0.2672,0.879,False,
H1b,BUBBLE_vs_AREA,clustering=LOW,throughput_shannon_nominal_bps,paired_t,3,2,4.3144,3.7978,0.5167,2.053,0.1765,1.185,False,
H1b,POINT_vs_AREA,clustering=LOW,throughput_shannon_nominal_bps,paired_t,3,2,3.34,3.7978,-0.4578,-0.951,0.4421,-0.549,False,
H1b,BUBBLE_vs_POINT,clustering=MEDIUM,throughput_shannon_nominal_bps,paired_t,3,2,3.8744,3.1156,0.7589,1.237,0.3417,0.714,False,
H1b,BUBBLE_vs_AREA,clustering=MEDIUM,throughput_shannon_nominal_bps,paired_t,3,2,3.8744,3.4367,0.4378,1.1,0.3861,0.635,False,
H1b,POINT_vs_AREA,clustering=MEDIUM,throughput_shannon_nominal_bps,paired_t,3,2,3.1156,3.4367,-0.3211,-0.854,0.4831,-0.493,False,
H1b,BUBBLE_vs_POINT,clustering=HIGH,throughput_shannon_nominal_bps,paired_t,3,2,3.5233,3.0533,0.47,1.252,0.3371,0.723,False,
H1b,BUBBLE_vs_AREA,clustering=HIGH,throughput_shannon_nominal_bps,paired_t,3,2,3.5233,3.1344,0.3889,4.827,0.0403,2.787,True,*
H1b,POINT_vs_AREA,clustering=HIGH,throughput_shannon_nominal_bps,paired_t,3,2,3.0533,3.1344,-0.0811,-0.25,0.8259,-0.144,False,
H1b,attenuation_area_vs_point,advantage_LOW_vs_HIGH,throughput_shannon_nominal_bps,paired_t,3,2,0.4578,0.0811,0.3767,1.929,0.1936,1.113,False,
H1b,attenuation_bubble_vs_point,advantage_LOW_vs_HIGH,throughput_shannon_nominal_bps,paired_t,3,2,0.9744,0.47,0.5044,1.444,0.2855,0.834,False,
H1c,BUBBLE_vs_POINT,clustering=LOW_movement=STATIC,throughput_shannon_nominal_bps,paired_t,3,2,4.66,3.9867,0.6733,1.072,0.3961,0.619,False,
H1c,BUBBLE_vs_AREA,clustering=LOW_movement=STATIC,throughput_shannon_nominal_bps,paired_t,3,2,4.66,4.35,0.31,0.707,0.5526,0.408,False,
H1c,BUBBLE_vs_POINT,clustering=LOW_movement=SLOW,throughput_shannon_nominal_bps,paired_t,3,2,4.4633,3.0733,1.39,1.973,0.1872,1.139,False,
H1c,BUBBLE_vs_AREA,clustering=LOW_movement=SLOW,throughput_shannon_nominal_bps,paired_t,3,2,4.4633,3.5333,0.93,8.054,0.0151,4.65,True,*
H1c,BUBBLE_vs_POINT,clustering=LOW_movement=FAST,throughput_shannon_nominal_bps,paired_t,3,2,3.82,2.96,0.86,1.345,0.3109,0.776,False,
H1c,BUBBLE_vs_AREA,clustering=LOW_movement=FAST,throughput_shannon_nominal_bps,paired_t,3,2,3.82,3.51,0.31,1.51,0.2701,0.872,False,
H1c,BUBBLE_vs_POINT,clustering=MEDIUM_movement=STATIC,throughput_shannon_nominal_bps,paired_t,3,2,4.32,3.86,0.46,0.676,0.5685,0.391,False,
H1c,BUBBLE_vs_AREA,clustering=MEDIUM_movement=STATIC,throughput_shannon_nominal_bps,paired_t,3,2,4.32,4.01,0.31,0.918,0.4556,0.53,False,
H1c,BUBBLE_vs_POINT,clustering=MEDIUM_movement=SLOW,throughput_shannon_nominal_bps,paired_t,3,2,3.5567,2.7267,0.83,1.144,0.371,0.661,False,
H1c,BUBBLE_vs_AREA,clustering=MEDIUM_movement=SLOW,throughput_shannon_nominal_bps,paired_t,3,2,3.5567,3.3633,0.1933,0.465,0.6877,0.268,False,
H1c,BUBBLE_vs_POINT,clustering=MEDIUM_movement=FAST,throughput_shannon_nominal_bps,paired_t,3,2,3.7467,2.76,0.9867,2.084,0.1725,1.203,False,
H1c,BUBBLE_vs_AREA,clustering=MEDIUM_movement=FAST,throughput_shannon_nominal_bps,paired_t,3,2,3.7467,2.9367,0.81,1.703,0.2307,0.983,False,
H1c,BUBBLE_vs_POINT,clustering=HIGH_movement=STATIC,throughput_shannon_nominal_bps,paired_t,3,2,4.07,4.0767,-0.0067,-0.017,0.9882,-0.01,False,
H1c,BUBBLE_vs_AREA,clustering=HIGH_movement=STATIC,throughput_shannon_nominal_bps,paired_t,3,2,4.07,3.6667,0.4033,1.997,0.184,1.153,False,
H1c,BUBBLE_vs_POINT,clustering=HIGH_movement=SLOW,throughput_shannon_nominal_bps,paired_t,3,2,3.19,2.79,0.4,0.996,0.4241,0.575,False,
H1c,BUBBLE_vs_AREA,clustering=HIGH_movement=SLOW,throughput_shannon_nominal_bps,paired_t,3,2,3.19,2.9133,0.2767,1.667,0.2374,0.962,False,
H1c,BUBBLE_vs_POINT,clustering=HIGH_movement=FAST,throughput_shannon_nominal_bps,paired_t,3,2,3.31,2.2933,1.0167,2.022,0.1806,1.167,False,
H1c,BUBBLE_vs_AREA,clustering=HIGH_movement=FAST,throughput_shannon_nominal_bps,paired_t,3,2,3.31,2.8233,0.4867,0.875,0.474,0.505,False,
H2b,hoffmann_vs_fitts_r2,movement=SLOW,hoffmann_r2 vs fitts_r2,paired_t,27,26,0.1041,0.1205,-0.0164,-1.393,0.1755,-0.268,False,
H2b,delta_aic_vs_zero,movement=SLOW,delta_aic,one_sample_t,27,26,0.437,0.0,0.437,1.591,0.1238,,False,
H2c,hoffmann_vs_fitts_r2,movement=FAST,hoffmann_r2 vs fitts_r2,paired_t,27,26,0.0958,0.0996,-0.0038,-0.257,0.7991,-0.049,False,
H2c,delta_aic_vs_zero,movement=FAST,delta_aic,one_sample_t,27,26,0.1015,0.0,0.1015,0.31,0.7591,,False,
