participant,technique,movement,clustering,trial,time_ms,errorClicks,amplitude_px,targetRadius,clickInside,distNorm,distPx,targetSpeed,targetVx,targetVy,clickX,clickY,targetX,targetY,prevTargetX,prevTargetY
1,POINT,STATIC,LOW,1,1223.0,0.0,,11.654707554845487,True,0.469,5.46,0.0,0.0,0.0,41.0,310.0,44.7,306.0,,
1,POINT,STATIC,LOW,2,646.0,0.0,314.49,11.878353725520927,True,0.704,8.37,0.0,0.0,0.0,365.0,294.0,358.7,288.5,44.7,306.0
1,POINT,STATIC,LOW,3,696.0,0.0,331.04,28.154952509659886,True,0.429,12.09,0.0,0.0,0.0,61.0,447.0,61.9,434.9,358.7,288.5
1,POINT,STATIC,LOW,4,706.0,0.0,78.74,23.767796031559445,True,0.157,3.74,0.0,0.0,0.0,95.0,509.0,91.4,507.9,61.9,434.9
1,POINT,STATIC,LOW,5,837.0,1.0,400.59,10.770681013139642,True,0.7,7.54,0.0,0.0,0.0,344.0,190.0,344.6,197.5,91.4,507.9
1,POINT,STATIC,LOW,6,752.0,0.0,130.59,13.540290078155383,True,0.399,5.4,0.0,0.0,0.0,220.0,155.0,219.4,160.4,344.6,197.5
1,POINT,STATIC,LOW,7,820.0,0.0,154.88,13.009492239347882,True,0.325,4.23,0.0,0.0,0.0,83.0,84.0,82.4,88.2,219.4,160.4
1,POINT,STATIC,LOW,8,737.0,0.0,97.36,14.142945467638997,True,0.744,10.52,0.0,0.0,0.0,178.0,91.0,178.9,101.5,82.4,88.2
1,POINT,STATIC,LOW,9,723.0,0.0,365.79,21.440891796461983,True,0.199,4.27,0.0,0.0,0.0,328.0,435.0,332.0,433.7,178.9,101.5
1,POINT,STATIC,LOW,10,642.0,0.0,187.53,29.895118696627808,True,0.78,23.31,0.0,0.0,0.0,539.0,397.0,515.7,395.8,332.0,433.7
1,POINT,STATIC,LOW,11,650.0,0.0,472.78,27.800827469209214,True,0.575,15.97,0.0,0.0,0.0,57.0,321.0,47.1,333.5,515.7,395.8
1,POINT,STATIC,LOW,12,774.0,0.0,536.79,21.215163731538574,True,0.371,7.86,0.0,0.0,0.0,553.0,500.0,559.0,494.9,47.1,333.5
1,POINT,STATIC,LOW,13,829.0,0.0,359.81,10.552774213401083,True,0.507,5.35,0.0,0.0,0.0,537.0,131.0,539.7,135.6,559.0,494.9
1,POINT,STATIC,LOW,14,692.0,0.0,398.61,10.586668049940421,True,0.341,3.61,0.0,0.0,0.0,141.0,177.0,143.5,179.6,539.7,135.6
1,POINT,STATIC,LOW,15,903.0,0.0,366.49,24.722634133936022,True,0.395,9.76,0.0,0.0,0.0,147.0,543.0,156.3,545.9,143.5,179.6
1,POINT,STATIC,LOW,16,716.0,0.0,506.41,13.160555867605844,True,0.759,9.99,0.0,0.0,0.0,423.0,105.0,422.4,115.0,156.3,545.9
1,POINT,STATIC,LOW,17,802.0,0.0,506.32,14.213717733854725,True,0.652,9.26,0.0,0.0,0.0,47.0,465.0,47.9,455.8,422.4,115.0
1,POINT,STATIC,LOW,18,542.0,0.0,282.71,29.617463986597052,True,0.46,13.62,0.0,0.0,0.0,220.0,224.0,206.6,221.8,47.9,455.8
1,POINT,STATIC,LOW,19,609.0,0.0,259.23,29.768897040290486,True,0.605,18.01,0.0,0.0,0.0,289.0,486.0,280.1,470.4,206.6,221.8
1,POINT,STATIC,LOW,20,448.0,0.0,223.47,24.4723682953165,True,0.234,5.72,0.0,0.0,0.0,337.0,249.0,338.2,254.6,280.1,470.4
1,POINT,STATIC,MEDIUM,1,556.0,0.0,,23.5718897129769,True,0.594,13.99,0.0,0.0,0.0,349.0,224.0,355.7,211.7,,
1,POINT,STATIC,MEDIUM,2,493.0,0.0,98.93,20.64202791324726,True,0.615,12.7,0.0,0.0,0.0,265.0,188.0,263.7,175.4,355.7,211.7
1,POINT,STATIC,MEDIUM,3,853.0,0.0,298.63,14.550523811546139,True,0.202,2.94,0.0,0.0,0.0,270.0,471.0,270.0,473.9,263.7,175.4
1,POINT,STATIC,MEDIUM,4,553.0,0.0,136.5,23.748682094529133,True,0.353,8.37,0.0,0.0,0.0,271.0,345.0,267.4,337.5,270.0,473.9
1,POINT,STATIC,MEDIUM,5,767.0,0.0,195.46,10.151004656684348,True,0.192,1.95,0.0,0.0,0.0,126.0,203.0,124.4,204.1,267.4,337.5
1,POINT,STATIC,MEDIUM,6,867.0,0.0,474.06,15.840895093550936,True,0.464,7.34,0.0,0.0,0.0,471.0,538.0,464.7,534.2,124.4,204.1
1,POINT,STATIC,MEDIUM,7,872.0,0.0,6.98,13.417913113315258,True,0.584,7.84,0.0,0.0,0.0,457.0,535.0,462.3,540.7,464.7,534.2
1,POINT,STATIC,MEDIUM,8,775.0,0.0,257.46,14.336279711888961,True,0.526,7.53,0.0,0.0,0.0,210.0,541.0,204.9,535.4,462.3,540.7
1,POINT,STATIC,MEDIUM,9,613.0,0.0,128.87,24.882508188515388,True,0.473,11.78,0.0,0.0,0.0,270.0,438.0,277.7,429.1,204.9,535.4
1,POINT,STATIC,MEDIUM,10,748.0,0.0,148.97,12.02717007651106,True,0.251,3.02,0.0,0.0,0.0,350.0,556.0,350.9,558.9,277.7,429.1
1,POINT,STATIC,MEDIUM,11,655.0,0.0,513.62,19.91477197878434,True,0.29,5.77,0.0,0.0,0.0,285.0,45.0,282.0,49.9,350.9,558.9
1,POINT,STATIC,MEDIUM,12,609.0,0.0,424.76,24.219134956907034,True,0.641,15.53,0.0,0.0,0.0,405.0,472.0,405.0,456.5,282.0,49.9
1,POINT,STATIC,MEDIUM,13,533.0,0.0,362.56,27.249747910987104,True,0.562,15.32,0.0,0.0,0.0,207.0,135.0,217.5,146.1,405.0,456.5
1,POINT,STATIC,MEDIUM,14,683.0,0.0,402.26,29.725324231833163,True,0.243,7.23,0.0,0.0,0.0,50.0,517.0,47.0,510.4,217.5,146.1
1,POINT,STATIC,MEDIUM,15,580.0,0.0,386.13,21.02638420196692,True,0.876,18.43,0.0,0.0,0.0,400.0,398.0,411.7,383.8,47.0,510.4
1,POINT,STATIC,MEDIUM,16,705.0,0.0,140.95,15.683231022146739,True,0.507,7.96,0.0,0.0,0.0,552.0,376.0,552.7,383.9,411.7,383.8
1,POINT,STATIC,MEDIUM,17,867.0,0.0,174.07,11.969898891665052,True,0.913,10.93,0.0,0.0,0.0,509.0,559.0,519.1,554.7,552.7,383.9
1,POINT,STATIC,MEDIUM,18,686.0,0.0,354.58,21.316569825674712,True,0.328,7.0,0.0,0.0,0.0,173.0,522.0,166.1,520.8,519.1,554.7
1,POINT,STATIC,MEDIUM,19,706.0,0.0,559.5,23.872841671287198,True,0.673,16.06,0.0,0.0,0.0,495.0,71.0,509.1,78.8,166.1,520.8
1,POINT,STATIC,MEDIUM,20,708.0,0.0,488.63,20.727249113395402,True,0.624,12.93,0.0,0.0,0.0,68.0,303.0,68.5,290.1,509.1,78.8
1,POINT,SLOW,HIGH,1,1527.0,1.0,,10.94039704958097,True,0.876,9.59,120.0,-62.58,102.39,223.0,502.0,215.6,508.1,,
1,POINT,SLOW,HIGH,2,839.0,0.0,201.45,12.929806737924942,True,0.782,10.11,120.0,50.33,108.94,86.0,347.0,82.8,356.6,215.6,508.1
1,POINT,SLOW,HIGH,3,1741.0,2.0,459.28,11.853093946758671,True,0.426,5.05,120.0,12.25,119.37,530.0,244.0,529.3,249.0,82.8,356.6
1,POINT,SLOW,HIGH,4,1099.0,1.0,323.98,28.089830885252358,True,0.093,2.63,120.0,-90.29,-79.04,207.0,219.0,207.0,216.4,529.3,249.0
1,POINT,SLOW,HIGH,5,757.0,0.0,224.61,13.14979304575523,True,0.83,10.92,120.0,112.33,42.22,409.0,287.0,419.9,287.9,207.0,216.4
1,POINT,SLOW,HIGH,6,681.0,0.0,82.9,22.02547815678617,True,0.477,10.51,120.0,117.53,-24.22,411.0,205.0,421.5,205.0,419.9,287.9
1,POINT,SLOW,HIGH,7,1823.0,1.0,203.21,11.92545736528871,True,0.523,6.23,120.0,-102.01,-63.2,473.0,408.0,470.7,402.2,421.5,205.0
1,POINT,SLOW,HIGH,8,1627.0,0.0,506.62,15.495404435002346,True,0.867,13.43,120.0,90.7,78.57,71.0,109.0,66.9,96.2,470.7,402.2
1,POINT,SLOW,HIGH,9,1472.0,0.0,444.61,15.997720507752664,True,0.222,3.55,120.0,-80.13,-89.33,190.0,520.0,192.2,522.8,66.9,96.2
1,POINT,SLOW,HIGH,10,1189.0,1.0,482.51,17.37270340319226,True,0.849,14.76,120.0,94.04,74.54,395.0,99.0,393.6,84.3,192.2,522.8
