model,technique,movement,clustering,n,slope_ms,intercept_ms,r,r2,p,tp_bps,se
Hoffmann,AREA,FAST,HIGH,55,426.62,-686.64,0.2975,0.0885,0.027417,2.344,188.0887
Shannon Effective,AREA,FAST,HIGH,55,88.04,1546.41,0.0349,0.0012,0.800199,11.358,346.1215
Shannon Nominal,AREA,FAST,HIGH,55,471.15,341.1,0.2151,0.0463,0.114782,2.122,293.8386
Hoffmann,AREA,FAST,LOW,54,155.4,533.06,0.1666,0.0278,0.228591,6.435,127.5497
Shannon Effective,AREA,FAST,LOW,54,-16.89,1498.45,-0.0072,0.0001,0.958703,,324.5809
Shannon Nominal,AREA,FAST,LOW,54,13.19,1410.8,0.0073,0.0001,0.958272,75.841,250.7951
Hoffmann,AREA,FAST,MEDIUM,55,170.69,340.63,0.3214,0.1033,0.016736,5.858,69.0879
Shannon Effective,AREA,FAST,MEDIUM,55,-134.69,1667.91,-0.1132,0.0128,0.410693,,162.4309
Shannon Nominal,AREA,FAST,MEDIUM,55,61.2,1092.27,0.0604,0.0036,0.661321,16.34,138.9078
Hoffmann,AREA,SLOW,HIGH,56,293.04,-246.17,0.2352,0.0553,0.08105,3.412,164.8237
Shannon Effective,AREA,SLOW,HIGH,56,440.8,182.96,0.222,0.0493,0.100143,2.269,263.5023
Shannon Nominal,AREA,SLOW,HIGH,56,423.31,230.94,0.2224,0.0495,0.099499,2.362,252.553
Hoffmann,AREA,SLOW,LOW,52,145.9,326.08,0.287,0.0823,0.03915,6.854,68.8766
Shannon Effective,AREA,SLOW,LOW,52,189.38,593.23,0.1456,0.0212,0.302907,5.28,181.9329
Shannon Nominal,AREA,SLOW,LOW,52,164.31,635.92,0.1612,0.026,0.253687,6.086,142.295
Hoffmann,AREA,SLOW,MEDIUM,56,188.07,229.44,0.2084,0.0434,0.123162,5.317,120.0841
Shannon Effective,AREA,SLOW,MEDIUM,56,-78.24,1540.61,-0.0469,0.0022,0.731604,,226.9381
Shannon Nominal,AREA,SLOW,MEDIUM,56,170.63,794.2,0.1169,0.0137,0.390981,5.861,197.3043
Hoffmann,AREA,STATIC,HIGH,56,70.8,709.66,0.1579,0.0249,0.24512,14.125,60.2475
Shannon Effective,AREA,STATIC,HIGH,56,29.08,824.04,0.0586,0.0034,0.668163,34.389,67.4636
Shannon Nominal,AREA,STATIC,HIGH,56,70.8,709.66,0.1579,0.0249,0.24512,14.125,60.2475
Hoffmann,AREA,STATIC,LOW,56,-3.3,670.13,-0.0151,0.0002,0.911811,,29.6328
Shannon Effective,AREA,STATIC,LOW,56,-17.99,701.52,-0.0705,0.005,0.605811,,34.6563
Shannon Nominal,AREA,STATIC,LOW,56,-3.3,670.13,-0.0151,0.0002,0.911811,,29.6328
Hoffmann,AREA,STATIC,MEDIUM,56,108.45,528.66,0.2635,0.0694,0.049714,9.221,54.0205
Shannon Effective,AREA,STATIC,MEDIUM,56,56.71,695.9,0.1097,0.012,0.420803,17.634,69.9064
