technique,movement,clustering,dv,n,W,p_shapiro,normal_at_05
BUBBLE,STATIC,LOW,throughput_shannon_nominal_bps,3,0.9927,0.837,True
BUBBLE,STATIC,LOW,throughput_shannon_effective_bps,3,0.9521,0.5785,True
BUBBLE,STATIC,LOW,throughput_hoffmann_bps,3,0.9927,0.837,True
BUBBLE,STATIC,LOW,avgTime_ms,3,0.9484,0.5625,True
BUBBLE,STATIC,LOW,precisionRate_percent,3,0.8242,0.1736,True
BUBBLE,STATIC,LOW,avgErrorClicks,3,1.0,1.0,True
BUBBLE,STATIC,LOW,avgNormalizedDistance,3,0.76,0.0223,False
BUBBLE,STATIC,LOW,avgDistanceFromCenter_px,3,0.8063,0.1296,True
BUBBLE,STATIC,MEDIUM,throughput_shannon_nominal_bps,3,0.757,0.0155,False
BUBBLE,STATIC,MEDIUM,throughput_shannon_effective_bps,3,0.8417,0.2185,True
BUBBLE,STATIC,MEDIUM,throughput_hoffmann_bps,3,0.757,0.0155,False
BUBBLE,STATIC,MEDIUM,avgTime_ms,3,0.7921,0.0958,True
BUBBLE,STATIC,MEDIUM,precisionRate_percent,3,0.9423,0.5367,True
BUBBLE,STATIC,MEDIUM,avgErrorClicks,3,0.75,0.0,False
BUBBLE,STATIC,MEDIUM,avgNormalizedDistance,3,0.9968,0.8922,True
BUBBLE,STATIC,MEDIUM,avgDistanceFromCenter_px,3,0.9865,0.7777,True
BUBBLE,STATIC,HIGH,throughput_shannon_nominal_bps,3,0.907,0.4083,True
BUBBLE,STATIC,HIGH,throughput_shannon_effective_bps,3,0.9818,0.7414,True
BUBBLE,STATIC,HIGH,throughput_hoffmann_bps,3,0.907,0.4083,True
BUBBLE,STATIC,HIGH,avgTime_ms,3,0.8601,0.2677,True
BUBBLE,STATIC,HIGH,precisionRate_percent,3,0.9643,0.6369,True
BUBBLE,STATIC,HIGH,avgErrorClicks,3,0.812,0.1436,True
BUBBLE,STATIC,HIGH,avgNormalizedDistance,3,0.8016,0.1184,True
BUBBLE,STATIC,HIGH,avgDistanceFromCenter_px,3,0.9361,0.5121,True
BUBBLE,SLOW,LOW,throughput_shannon_nominal_bps,3,0.9501,0.57,True
BUBBLE,SLOW,LOW,throughput_shannon_effective_bps,3,0.9994,0.9516,True
BUBBLE,SLOW,LOW,throughput_hoffmann_bps,3,0.9368,0.5146,True
BUBBLE,SLOW,LOW,avgTime_ms,3,0.8143,0.149,True
BUBBLE,SLOW,LOW,precisionRate_percent,3,0.9758,0.7017,True
BUBBLE,SLOW,LOW,avgErrorClicks,3,0.75,0.0,False
BUBBLE,SLOW,LOW,avgNormalizedDistance,3,0.9541,0.5878,True
BUBBLE,SLOW,LOW,avgDistanceFromCenter_px,3,0.8859,0.342,True
BUBBLE,SLOW,MEDIUM,throughput_shannon_nominal_bps,3,0.9551,0.5921,True
BUBBLE,SLOW,MEDIUM,throughput_shannon_effective_bps,3,0.8826,0.332,True
BUBBLE,SLOW,MEDIUM,throughput_hoffmann_bps,3,0.9628,0.6293,True
BUBBLE,SLOW,MEDIUM,avgTime_ms,3,0.803,0.1217,True
BUBBLE,SLOW,MEDIUM,precisionRate_percent,3,0.9932,0.8428,True
BUBBLE,SLOW,MEDIUM,avgErrorClicks,3,1.0,1.0,True
BUBBLE,SLOW,MEDIUM,avgNormalizedDistance,3,1.0,0.9878,True
BUBBLE,SLOW,MEDIUM,avgDistanceFromCenter_px,3,0.9944,0.8566,True
BUBBLE,SLOW,HIGH,throughput_shannon_nominal_bps,3,0.8955,0.3714,True
BUBBLE,SLOW,HIGH,throughput_shannon_effective_bps,3,0.829,0.1859,True
BUBBLE,SLOW,HIGH,throughput_hoffmann_bps,3,0.9357,0.5102,True
BUBBLE,SLOW,HIGH,avgTime_ms,3,0.8107,0.1402,True
BUBBLE,SLOW,HIGH,precisionRate_percent,3,0.75,0.0,False
BUBBLE,SLOW,HIGH,avgErrorClicks,3,0.8176,0.1572,True
BUBBLE,SLOW,HIGH,avgNormalizedDistance,3,0.9985,0.9256,True
BUBBLE,SLOW,HIGH,avgDistanceFromCenter_px,3,0.9803,0.7312,True
BUBBLE,FAST,LOW,throughput_shannon_nominal_bps,3,0.9971,0.8965,True
BUBBLE,FAST,LOW,throughput_shannon_effective_bps,3,0.8598,0.2669,True
BUBBLE,FAST,LOW,throughput_hoffmann_bps,3,0.994,0.8521,True
BUBBLE,FAST,LOW,avgTime_ms,3,0.8498,0.2398,True
BUBBLE,FAST,LOW,precisionRate_percent,3,0.9067,0.4072,True
BUBBLE,FAST,LOW,avgErrorClicks,3,1.0,1.0,True
BUBBLE,FAST,LOW,avgNormalizedDistance,3,0.8235,0.1719,True
BUBBLE,FAST,LOW,avgDistanceFromCenter_px,3,0.751,0.0023,False
BUBBLE,FAST,MEDIUM,throughput_shannon_nominal_bps,3,0.9962,0.8819,True
BUBBLE,FAST,MEDIUM,throughput_shannon_effective_bps,3,0.9349,0.5074,True
BUBBLE,FAST,MEDIUM,throughput_hoffmann_bps,3,0.9718,0.6777,True
BUBBLE,FAST,MEDIUM,avgTime_ms,3,0.808,0.1338,True
BUBBLE,FAST,MEDIUM,precisionRate_percent,3,0.871,0.2983,True
BUBBLE,FAST,MEDIUM,avgErrorClicks,3,0.9932,0.8428,True
BUBBLE,FAST,MEDIUM,avgNormalizedDistance,3,0.9854,0.7689,True
BUBBLE,FAST,MEDIUM,avgDistanceFromCenter_px,3,0.9858,0.7718,True
BUBBLE,FAST,HIGH,throughput_shannon_nominal_bps,3,0.9744,0.6931,True
BUBBLE,FAST,HIGH,throughput_shannon_effective_bps,3,0.9876,0.7867,True
BUBBLE,FAST,HIGH,throughput_hoffmann_bps,3,0.8804,0.3255,True
BUBBLE,FAST,HIGH,avgTime_ms,3,0.8317,0.1927,True
BUBBLE,FAST,HIGH,precisionRate_percent,3,0.75,0.0,False
BUBBLE,FAST,HIGH,avgErrorClicks,3,0.9067,0.4072,True
BUBBLE,FAST,HIGH,avgNormalizedDistance,3,0.9614,0.6223,True
BUBBLE,FAST,HIGH,avgDistanceFromCenter_px,3,0.7713,0.0478,False
POINT,STATIC,LOW,throughput_shannon_nominal_bps,3,0.7609,0.0243,False
POINT,STATIC,LOW,throughput_shannon_effective_bps,3,0.9046,0.4003,True
POINT,STATIC,LOW,throughput_hoffmann_bps,3,0.7609,0.0243,False
POINT,STATIC,LOW,avgTime_ms,3,0.7665,0.0367,False
POINT,STATIC,LOW,precisionRate_percent,3,1.0,1.0,True
POINT,STATIC,LOW,avgErrorClicks,3,0.871,0.2983,True
POINT,STATIC,LOW,avgNormalizedDistance,3,0.9346,0.5059,True
POINT,STATIC,LOW,avgDistanceFromCenter_px,3,0.9689,0.6616,True
POINT,STATIC,MEDIUM,throughput_shannon_nominal_bps,3,0.7565,0.0143,False
POINT,STATIC,MEDIUM,throughput_shannon_effective_bps,3,0.8218,0.1678,True
POINT,STATIC,MEDIUM,throughput_hoffmann_bps,3,0.7565,0.0143,False
POINT,STATIC,MEDIUM,avgTime_ms,3,0.7711,0.0471,False
POINT,STATIC,MEDIUM,precisionRate_percent,3,1.0,1.0,True
POINT,STATIC,MEDIUM,avgErrorClicks,3,0.75,0.0,False
POINT,STATIC,MEDIUM,avgNormalizedDistance,3,0.8679,0.2896,True
POINT,STATIC,MEDIUM,avgDistanceFromCenter_px,3,0.9609,0.62,True
POINT,STATIC,HIGH,throughput_shannon_nominal_bps,3,0.9451,0.5483,True
POINT,STATIC,HIGH,throughput_shannon_effective_bps,3,0.8687,0.2918,True
POINT,STATIC,HIGH,throughput_hoffmann_bps,3,0.9451,0.5483,True
POINT,STATIC,HIGH,avgTime_ms,3,0.9253,0.4712,True
POINT,STATIC,HIGH,precisionRate_percent,3,1.0,1.0,True
POINT,STATIC,HIGH,avgErrorClicks,3,0.75,0.0,False
POINT,STATIC,HIGH,avgNormalizedDistance,3,0.9142,0.4323,True
POINT,STATIC,HIGH,avgDistanceFromCenter_px,3,0.8611,0.2706,True
POINT,SLOW,LOW,throughput_shannon_nominal_bps,3,0.7953,0.1033,True
POINT,SLOW,LOW,throughput_shannon_effective_bps,3,0.7744,0.0547,True
POINT,SLOW,LOW,throughput_hoffmann_bps,3,0.7606,0.0235,False
POINT,SLOW,LOW,avgTime_ms,3,0.7806,0.069,True
POINT,SLOW,LOW,precisionRate_percent,3,1.0,1.0,True
POINT,SLOW,LOW,avgErrorClicks,3,0.9758,0.7017,True
POINT,SLOW,LOW,avgNormalizedDistance,3,0.8824,0.3314,True
POINT,SLOW,LOW,avgDistanceFromCenter_px,3,0.8778,0.3181,True
POINT,SLOW,MEDIUM,throughput_shannon_nominal_bps,3,0.7918,0.0951,True
POINT,SLOW,MEDIUM,throughput_shannon_effective_bps,3,0.7633,0.0295,False
POINT,SLOW,MEDIUM,throughput_hoffmann_bps,3,0.8093,0.1369,True
