participant,technique,movement,clustering,n_removed_trials
1,BUBBLE,STATIC,MEDIUM,1
1,BUBBLE,STATIC,HIGH,1
1,BUBBLE,SLOW,MEDIUM,1
1,BUBBLE,SLOW,HIGH,2
1,BUBBLE,FAST,LOW,1
1,BUBBLE,FAST,HIGH,1
1,POINT,FAST,LOW,1
1,POINT,FAST,MEDIUM,1
1,POINT,FAST,HIGH,1
1,AREA,STATIC,HIGH,1
1,AREA,SLOW,LOW,1
1,AREA,SLOW,MEDIUM,1
1,AREA,SLOW,HIGH,2
1,AREA,FAST,LOW,1
1,AREA,FAST,HIGH,1
3,BUBBLE,SLOW,HIGH,1
3,BUBBLE,FAST,MEDIUM,1
3,BUBBLE,FAST,HIGH,1
3,POINT,SLOW,LOW,2
3,POINT,SLOW,MEDIUM,1
3,POINT,FAST,LOW,1
3,POINT,FAST,MEDIUM,2
3,POINT,FAST,HIGH,2
3,AREA,SLOW,LOW,1
3,AREA,FAST,MEDIUM,2
10,BUBBLE,STATIC,MEDIUM,1
10,BUBBLE,SLOW,LOW,2
10,BUBBLE,SLOW,MEDIUM,2
10,BUBBLE,FAST,LOW,1
10,BUBBLE,FAST,MEDIUM,2
10,POINT,SLOW,LOW,2
10,POINT,FAST,LOW,1
10,POINT,FAST,MEDIUM,2
10,AREA,STATIC,LOW,1
10,AREA,STATIC,MEDIUM,1
10,AREA,SLOW,LOW,3
10,AREA,FAST,LOW,2
10,AREA,FAST,HIGH,1
