participant,technique,movement,clustering,trial,time_ms,errorClicks,amplitude_px,targetRadius,clickInside,distNorm,distPx,targetSpeed,targetVx,targetVy,clickX,clickY,targetX,targetY,prevTargetX,prevTargetY,_why
1,POINT,FAST,MEDIUM,19,4274.0,8.0,407.6,10.49702159826622,True,0.784,8.23,104.91,0.0,-104.91,579.0,97.0,583.5,90.1,185.9,179.9,statistical_iqr
1,POINT,FAST,HIGH,3,5534.0,8.0,568.51,16.757161073500676,True,0.369,6.18,121.95,117.73,31.78,185.0,20.0,190.1,23.5,455.1,526.5,statistical_iqr
1,POINT,FAST,LOW,2,2926.0,3.0,536.83,17.476496510465246,True,0.8,13.99,102.3,97.8,30.01,30.0,31.0,44.0,30.2,578.4,80.4,statistical_iqr
1,AREA,SLOW,HIGH,1,1916.0,1.0,,11.96823969925199,True,0.788,9.43,120.0,-119.97,2.56,449.0,164.0,439.9,166.6,,,statistical_iqr
1,AREA,SLOW,HIGH,8,1897.0,2.0,219.23,29.74811871310762,True,0.864,25.71,120.0,24.13,117.55,135.0,365.0,130.0,339.8,338.7,407.1,statistical_iqr
1,AREA,SLOW,LOW,9,1130.0,1.0,264.78,22.291646888257926,True,0.232,5.17,120.0,70.39,97.19,275.0,519.0,272.7,514.4,29.8,408.9,statistical_iqr
1,AREA,SLOW,MEDIUM,5,1637.0,1.0,165.65,14.622493236010449,True,0.245,3.58,120.0,-111.47,-44.43,572.0,483.0,570.1,486.0,405.6,505.8,statistical_iqr
1,AREA,FAST,HIGH,19,1461.0,2.0,157.11,13.110804197393165,True,0.979,12.84,108.55,82.66,70.36,235.0,295.0,241.0,283.6,306.4,140.8,statistical_iqr
1,AREA,STATIC,HIGH,13,1605.0,1.0,155.29,16.351743135550457,True,0.318,5.19,0.0,0.0,0.0,559.0,73.0,560.0,78.1,460.8,197.6,statistical_iqr
1,AREA,FAST,LOW,20,1666.0,3.0,187.24,12.379850364713754,True,0.145,1.8,138.38,83.71,110.19,435.0,401.0,436.8,400.9,256.1,352.0,statistical_iqr
