participant,technique,movement,clustering,n_trials,mean_mt_ms,median_mt_ms,sd_mt_ms,total_errors,mean_errors,mean_dist_px,precision,mean_amplitude,mean_shannon_id,throughput_shannon_bps
0,BUBBLE,STATIC,LOW,1,614.0,614.0,,0,0.0,,,444.44,,
0,BUBBLE,STATIC,MEDIUM,1,615.0,615.0,,0,0.0,,,456.76,,
0,BUBBLE,STATIC,HIGH,1,724.0,724.0,,0,0.0,,,254.13,,
0,BUBBLE,SLOW,LOW,1,782.0,782.0,,0,0.0,,,498.07,,
0,BUBBLE,SLOW,MEDIUM,1,580.0,580.0,,0,0.0,,,188.16,,
0,BUBBLE,SLOW,HIGH,1,833.0,833.0,,0,0.0,,,308.39,,
0,BUBBLE,FAST,LOW,1,745.0,745.0,,0,0.0,,,545.56,,
0,BUBBLE,FAST,MEDIUM,1,647.0,647.0,,0,0.0,,,146.42,,
0,BUBBLE,FAST,HIGH,1,1157.0,1157.0,,0,0.0,,,450.68,,
0,POINT,STATIC,LOW,1,646.0,646.0,,0,0.0,,,314.49,,
0,POINT,STATIC,MEDIUM,1,493.0,493.0,,0,0.0,,,98.93,,
0,POINT,STATIC,HIGH,1,758.0,758.0,,0,0.0,,,348.37,,
0,POINT,SLOW,LOW,1,1157.0,1157.0,,1,1.0,,,77.82,,
0,POINT,SLOW,MEDIUM,1,677.0,677.0,,0,0.0,,,175.58,,
0,POINT,SLOW,HIGH,1,839.0,839.0,,0,0.0,,,201.45,,
0,POINT,FAST,LOW,1,2926.0,2926.0,,3,3.0,,,536.83,,
0,POINT,FAST,MEDIUM,1,764.0,764.0,,0,0.0,,,170.84,,
0,POINT,FAST,HIGH,1,1348.0,1348.0,,1,1.0,,,113.93,,
0,AREA,STATIC,LOW,1,541.0,541.0,,0,0.0,,,352.99,,
0,AREA,STATIC,MEDIUM,1,663.0,663.0,,0,0.0,,,253.81,,
0,AREA,STATIC,HIGH,1,594.0,594.0,,0,0.0,,,183.05,,
0,AREA,SLOW,LOW,1,694.0,694.0,,0,0.0,,,68.59,,
0,AREA,SLOW,MEDIUM,1,783.0,783.0,,0,0.0,,,373.14,,
0,AREA,SLOW,HIGH,1,1046.0,1046.0,,0,0.0,,,511.73,,
0,AREA,FAST,LOW,1,1127.0,1127.0,,0,0.0,,,275.43,,
0,AREA,FAST,MEDIUM,1,800.0,800.0,,0,0.0,,,111.03,,
