participant,technique,movement,clustering,conditionIndex,techBlock,trialNumber,time_ms,errorClickCount,clickX,clickY,targetX,targetY,distanceToCenter_px,normalizedDistance,clickedInsideTarget,amplitude_px,targetRadius,targetVx_px_per_s,targetVy_px_per_s,targetSpeed_px_per_s,shannon_id_bits
1,POINT,STATIC,LOW,0,1,1.0,1223,0,41.0,310.0,44.7,306.0,5.46,0.469,True,,11.654707554845487,0.0,0.0,0.0,
1,POINT,STATIC,LOW,0,1,2.0,646,0,365.0,294.0,358.7,288.5,8.37,0.704,True,314.49,11.878353725520927,0.0,0.0,0.0,3.8316690853297484
1,POINT,STATIC,LOW,0,1,3.0,696,0,61.0,447.0,61.9,434.9,12.09,0.429,True,331.04,28.154952509659886,0.0,0.0,0.0,2.7821767633748276
1,POINT,STATIC,LOW,0,1,4.0,706,0,95.0,509.0,91.4,507.9,3.74,0.157,True,78.74,23.767796031559445,0.0,0.0,0.0,1.409495771434503
1,POINT,STATIC,LOW,0,1,5.0,837,1,344.0,190.0,344.6,197.5,7.54,0.7,True,400.59,10.770681013139642,0.0,0.0,0.0,4.292510640336166
1,POINT,STATIC,LOW,0,1,6.0,752,0,220.0,155.0,219.4,160.4,5.4,0.399,True,130.59,13.540290078155383,0.0,0.0,0.0,2.5415829402531274
1,POINT,STATIC,LOW,0,1,7.0,820,0,83.0,84.0,82.4,88.2,4.23,0.325,True,154.88,13.009492239347882,0.0,0.0,0.0,2.797547749194674
1,POINT,STATIC,LOW,0,1,8.0,737,0,178.0,91.0,178.9,101.5,10.52,0.744,True,97.36,14.142945467638997,0.0,0.0,0.0,2.151208972644208
1,POINT,STATIC,LOW,0,1,9.0,723,0,328.0,435.0,332.0,433.7,4.27,0.199,True,365.79,21.440891796461983,0.0,0.0,0.0,3.2525058185671787
1,POINT,STATIC,LOW,0,1,10.0,642,0,539.0,397.0,515.7,395.8,23.31,0.78,True,187.53,29.895118696627808,0.0,0.0,0.0,2.048398451350402
1,POINT,STATIC,LOW,0,1,11.0,650,0,57.0,321.0,47.1,333.5,15.97,0.575,True,472.78,27.800827469209214,0.0,0.0,0.0,3.2483806486817635
1,POINT,STATIC,LOW,0,1,12.0,774,0,553.0,500.0,559.0,494.9,7.86,0.371,True,536.79,21.215163731538574,0.0,0.0,0.0,3.7709445159866886
1,POINT,STATIC,LOW,0,1,13.0,829,0,537.0,131.0,539.7,135.6,5.35,0.507,True,359.81,10.552774213401083,0.0,0.0,0.0,4.173776954580997
1,POINT,STATIC,LOW,0,1,14.0,692,0,141.0,177.0,143.5,179.6,3.61,0.341,True,398.61,10.586668049940421,0.0,0.0,0.0,4.309324392545416
1,POINT,STATIC,LOW,0,1,15.0,903,0,147.0,543.0,156.3,545.9,9.76,0.395,True,366.49,24.722634133936022,0.0,0.0,0.0,3.0724546481155497
1,POINT,STATIC,LOW,0,1,16.0,716,0,423.0,105.0,422.4,115.0,9.99,0.759,True,506.41,13.160555867605844,0.0,0.0,0.0,4.3391152062410585
1,POINT,STATIC,LOW,0,1,17.0,802,0,47.0,465.0,47.9,455.8,9.26,0.652,True,506.32,14.213717733854725,0.0,0.0,0.0,4.233501798813691
1,POINT,STATIC,LOW,0,1,18.0,542,0,220.0,224.0,206.6,221.8,13.62,0.46,True,282.71,29.617463986597052,0.0,0.0,0.0,2.529243970819811
1,POINT,STATIC,LOW,0,1,19.0,609,0,289.0,486.0,280.1,470.4,18.01,0.605,True,259.23,29.768897040290486,0.0,0.0,0.0,2.420628202791127
1,POINT,STATIC,LOW,0,1,20.0,448,0,337.0,249.0,338.2,254.6,5.72,0.234,True,223.47,24.4723682953165,0.0,0.0,0.0,2.476579120689848
1,POINT,STATIC,MEDIUM,1,1,1.0,556,0,349.0,224.0,355.7,211.7,13.99,0.594,True,,23.5718897129769,0.0,0.0,0.0,
1,POINT,STATIC,MEDIUM,1,1,2.0,493,0,265.0,188.0,263.7,175.4,12.7,0.615,True,98.93,20.64202791324726,0.0,0.0,0.0,1.7639743642443102
